Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
GA,-17018.4,-16840.2,992.223,-19743.4,-14725.3,181.46
DE1,-10530.2,-10266,1222.07,-13567,-8605,416.48
DE2,-8298.82,-8240.5,493.525,-9963,-7372,545.86
DE3,-7980.2,-7847,555.938,-9784,-6966,403.16
DE4,-8940.38,-8971,457.441,-9801,-7999,655.68
DE5,-8345.98,-8295.5,465.153,-9561,-7518,804.7
DE6,-13261.8,-14341.5,3136.38,-17814,-5806,568.14
DE7,-6148.84,-5971.5,586.491,-8862,-5320,817.52
DE8,-5922,-5979,455.404,-7133,-4832,585.78
DE9,-6977.12,-6992.5,649.352,-8720,-5703,968.18
DE10,-6253.26,-6250,452.354,-7485,-5346,1244.88
